
            r               1s              2s              2p
        1.0732255   0.1638197E+00  -0.6275135E+00   0.5780009E+00
        1.1104784   0.1440328E+00  -0.6456092E+00   0.5877831E+00
        1.1488260   0.1260558E+00  -0.6620948E+00   0.5968778E+00
        1.1882887   0.1098111E+00  -0.6768979E+00   0.6052392E+00
        1.2288868   0.9521168E-01  -0.6899572E+00   0.6128245E+00
        1.2706402   0.8216283E-01  -0.7012224E+00   0.6195936E+00
        1.3135688   0.7056445E-01  -0.7106550E+00   0.6255103E+00
        1.3576918   0.6031281E-01  -0.7182284E+00   0.6305422E+00
        1.4030283   0.5130243E-01  -0.7239284E+00   0.6346612E+00
        1.4495969   0.4342777E-01  -0.7277530E+00   0.6378434E+00
        1.4974157   0.3658480E-01  -0.7297119E+00   0.6400698E+00
        1.5465025   0.3067226E-01  -0.7298273E+00   0.6413263E+00
        1.5968745   0.2559291E-01  -0.7281322E+00   0.6416037E+00
        1.6485486   0.2125434E-01  -0.7246710E+00   0.6408978E+00
        1.7015409   0.1756978E-01  -0.7194980E+00   0.6392096E+00
        1.7558671   0.1445856E-01  -0.7126775E+00   0.6365451E+00
        1.8115421   0.1184646E-01  -0.7042821E+00   0.6329154E+00
        1.8685805   0.9665821E-02  -0.6943925E+00   0.6283363E+00
        1.9269961   0.7855614E-02  -0.6830964E+00   0.6228283E+00
        1.9868020   0.6361234E-02  -0.6704872E+00   0.6164167E+00
        2.0480107   0.5134294E-02  -0.6566635E+00   0.6091307E+00
        2.1106340   0.4132281E-02  -0.6417277E+00   0.6010036E+00
        2.1746829   0.3318173E-02  -0.6257851E+00   0.5920724E+00
        2.2401678   0.2659995E-02  -0.6089431E+00   0.5823776E+00
        2.3070983   0.2130365E-02  -0.5913100E+00   0.5719625E+00
        2.3754834   0.1706028E-02  -0.5729942E+00   0.5608731E+00
        2.4453311   0.1367387E-02  -0.5541032E+00   0.5491579E+00
        2.5166488   0.1098063E-02  -0.5347431E+00   0.5368670E+00
        2.5894431   0.8844747E-03  -0.5150175E+00   0.5240522E+00
        2.6637198   0.7154423E-03  -0.4950269E+00   0.5107666E+00
