 
  EnergyXF(  1s(m=  0))=  -12.4951489387        12.5048517276       -25.0000006663 Int_Ort=         1.00000
    Energy(L= 64,ML= 0)=   -3.1249844514         3.1249834975        -6.2499679489 Int_Ort= 1.0000002130810
    Energy(L= 65,ML= 0)=   -3.1249856122         3.1249847270        -6.2499703393 Int_Ort= 1.0000002147312
    Energy(L= 66,ML= 0)=   -3.1249866732         3.1249858501        -6.2499725233 Int_Ort= 1.0000002161924
    Energy(L= 67,ML= 0)=   -3.1249876442         3.1249868773        -6.2499745215 Int_Ort= 1.0000002174887
    Energy(L= 68,ML= 0)=   -3.1249885341         3.1249878180        -6.2499763521 Int_Ort= 1.0000002186406
    Energy(L= 69,ML= 0)=   -3.1249893506         3.1249886807        -6.2499780312 Int_Ort= 1.0000002196660
    Energy(L= 70,ML= 0)=   -3.1249901006         3.1249894727        -6.2499795734 Int_Ort= 1.0000002205805
    Energy(L= 71,ML= 0)=   -3.1249907905         3.1249902009        -6.2499809914 Int_Ort= 1.0000002213974
    Energy(L= 72,ML= 0)=   -3.1249914258         3.1249908711        -6.2499822968 Int_Ort= 1.0000002221282
    Energy(L= 73,ML= 0)=   -3.1249920114         3.1249914886        -6.2499835000 Int_Ort= 1.0000002227832
    Energy(L= 74,ML= 0)=   -3.1249925518         3.1249920583        -6.2499846101 Int_Ort= 1.0000002233710
    Energy(L= 75,ML= 0)=   -3.1249930510         3.1249925843        -6.2499856354 Int_Ort= 1.0000002238992
    Energy(L= 76,ML= 0)=   -3.1249935127         3.1249930707        -6.2499865834 Int_Ort= 1.0000002243747
    Energy(L= 77,ML= 0)=   -3.1249939401         3.1249935208        -6.2499874609 Int_Ort= 1.0000002248033
    Energy(L= 78,ML= 0)=   -3.1249943360         3.1249939378        -6.2499882738 Int_Ort= 1.0000002251902
    Energy(L= 79,ML= 0)=   -3.1249947033         3.1249943244        -6.2499890277 Int_Ort= 1.0000002255399
    Energy(L= 80,ML= 0)=   -3.1249950442         3.1249946833        -6.2499897275 Int_Ort= 1.0000002258563
