        Distance           1s              1s              2p              2p              2p              2p
      0.794794E-04    0.177651E-02    0.177653E-02    0.720680E-07    0.720684E-07    0.720680E-07    0.720684E-07
      0.827230E-04    0.184898E-02    0.184900E-02    0.780696E-07    0.780700E-07    0.780696E-07    0.780700E-07
      0.860989E-04    0.192440E-02    0.192442E-02    0.845710E-07    0.845714E-07    0.845710E-07    0.845714E-07
      0.896126E-04    0.200290E-02    0.200292E-02    0.916137E-07    0.916142E-07    0.916137E-07    0.916142E-07
      0.932698E-04    0.208460E-02    0.208462E-02    0.992430E-07    0.992435E-07    0.992430E-07    0.992435E-07
      0.970761E-04    0.216963E-02    0.216966E-02    0.107507E-06    0.107508E-06    0.107507E-06    0.107508E-06
      0.101038E-03    0.225813E-02    0.225816E-02    0.116460E-06    0.116461E-06    0.116460E-06    0.116461E-06
      0.105161E-03    0.235024E-02    0.235026E-02    0.126158E-06    0.126159E-06    0.126158E-06    0.126159E-06
      0.109453E-03    0.244610E-02    0.244612E-02    0.136664E-06    0.136665E-06    0.136664E-06    0.136665E-06
      0.113920E-03    0.254587E-02    0.254589E-02    0.148044E-06    0.148045E-06    0.148044E-06    0.148045E-06
      0.118569E-03    0.264970E-02    0.264973E-02    0.160373E-06    0.160373E-06    0.160373E-06    0.160373E-06
      0.123407E-03    0.275777E-02    0.275780E-02    0.173727E-06    0.173728E-06    0.173727E-06    0.173728E-06
      0.128444E-03    0.287024E-02    0.287027E-02    0.188194E-06    0.188195E-06    0.188194E-06    0.188195E-06
      0.133685E-03    0.298730E-02    0.298733E-02    0.203865E-06    0.203866E-06    0.203865E-06    0.203866E-06
      0.139141E-03    0.310913E-02    0.310916E-02    0.220841E-06    0.220842E-06    0.220841E-06    0.220842E-06
      0.144819E-03    0.323592E-02    0.323595E-02    0.239230E-06    0.239231E-06    0.239230E-06    0.239231E-06
      0.150729E-03    0.336787E-02    0.336791E-02    0.259151E-06    0.259152E-06    0.259151E-06    0.259152E-06
      0.156881E-03    0.350521E-02    0.350524E-02    0.280730E-06    0.280731E-06    0.280730E-06    0.280731E-06
      0.163283E-03    0.364814E-02    0.364818E-02    0.304105E-06    0.304107E-06    0.304105E-06    0.304107E-06
      0.169947E-03    0.379689E-02    0.379693E-02    0.329427E-06    0.329429E-06    0.329427E-06    0.329429E-06
      0.176882E-03    0.395170E-02    0.395174E-02    0.356857E-06    0.356859E-06    0.356857E-06    0.356859E-06
      0.184100E-03    0.411282E-02    0.411286E-02    0.386571E-06    0.386573E-06    0.386571E-06    0.386573E-06
      0.191614E-03    0.428051E-02    0.428055E-02    0.418758E-06    0.418761E-06    0.418758E-06    0.418761E-06
      0.199433E-03    0.445502E-02    0.445506E-02    0.453626E-06    0.453628E-06    0.453626E-06    0.453628E-06
      0.207572E-03    0.463663E-02    0.463668E-02    0.491395E-06    0.491398E-06    0.491395E-06    0.491398E-06
      0.216043E-03    0.482565E-02    0.482570E-02    0.532310E-06    0.532312E-06    0.532310E-06    0.532312E-06
      0.224859E-03    0.502236E-02    0.502241E-02    0.576630E-06    0.576633E-06    0.576630E-06    0.576633E-06
      0.234036E-03    0.522708E-02    0.522713E-02    0.624639E-06    0.624643E-06    0.624639E-06    0.624643E-06
      0.243587E-03    0.544013E-02    0.544018E-02    0.676646E-06    0.676649E-06    0.676646E-06    0.676649E-06
      0.253527E-03    0.566186E-02    0.566191E-02    0.732981E-06    0.732985E-06    0.732981E-06    0.732985E-06
      0.263873E-03    0.589261E-02    0.589266E-02    0.794006E-06    0.794010E-06    0.794006E-06    0.794010E-06
      0.274642E-03    0.613275E-02    0.613281E-02    0.860110E-06    0.860114E-06    0.860110E-06    0.860114E-06
      0.285850E-03    0.638266E-02    0.638272E-02    0.931717E-06    0.931721E-06    0.931717E-06    0.931721E-06
      0.297515E-03    0.664274E-02    0.664281E-02    0.100928E-05    0.100929E-05    0.100928E-05    0.100929E-05
      0.309656E-03    0.691340E-02    0.691347E-02    0.109331E-05    0.109331E-05    0.109331E-05    0.109331E-05
      0.322293E-03    0.719508E-02    0.719515E-02    0.118432E-05    0.118433E-05    0.118432E-05    0.118433E-05
      0.335445E-03    0.748821E-02    0.748828E-02    0.128291E-05    0.128292E-05    0.128291E-05    0.128292E-05
      0.349134E-03    0.779325E-02    0.779333E-02    0.138971E-05    0.138972E-05    0.138971E-05    0.138972E-05
      0.363381E-03    0.811071E-02    0.811078E-02    0.150539E-05    0.150540E-05    0.150539E-05    0.150540E-05
      0.378210E-03    0.844107E-02    0.844114E-02    0.163071E-05    0.163072E-05    0.163071E-05    0.163072E-05
      0.393645E-03    0.878485E-02    0.878493E-02    0.176645E-05    0.176646E-05    0.176645E-05    0.176646E-05
      0.409708E-03    0.914261E-02    0.914270E-02    0.191348E-05    0.191349E-05    0.191348E-05    0.191349E-05
      0.426428E-03    0.951491E-02    0.951500E-02    0.207275E-05    0.207276E-05    0.207275E-05    0.207276E-05
      0.443830E-03    0.990233E-02    0.990242E-02    0.224528E-05    0.224529E-05    0.224528E-05    0.224529E-05
      0.461941E-03    0.103055E-01    0.103056E-01    0.243216E-05    0.243217E-05    0.243216E-05    0.243217E-05
      0.480792E-03    0.107250E-01    0.107251E-01    0.263458E-05    0.263460E-05    0.263458E-05    0.263460E-05
      0.500412E-03    0.111616E-01    0.111617E-01    0.285385E-05    0.285387E-05    0.285385E-05    0.285387E-05
      0.520832E-03    0.116159E-01    0.116160E-01    0.309136E-05    0.309138E-05    0.309136E-05    0.309138E-05
      0.542086E-03    0.120886E-01    0.120887E-01    0.334863E-05    0.334865E-05    0.334863E-05    0.334865E-05
      0.564207E-03    0.125805E-01    0.125806E-01    0.362730E-05    0.362732E-05    0.362730E-05    0.362732E-05
      0.587231E-03    0.130924E-01    0.130925E-01    0.392916E-05    0.392918E-05    0.392916E-05    0.392918E-05
      0.611194E-03    0.136250E-01    0.136251E-01    0.425612E-05    0.425614E-05    0.425612E-05    0.425614E-05
      0.636135E-03    0.141792E-01    0.141794E-01    0.461027E-05    0.461030E-05    0.461027E-05    0.461030E-05
      0.662093E-03    0.147559E-01    0.147560E-01    0.499389E-05    0.499391E-05    0.499389E-05    0.499391E-05
      0.689111E-03    0.153560E-01    0.153561E-01    0.540940E-05    0.540943E-05    0.540940E-05    0.540943E-05
      0.717231E-03    0.159804E-01    0.159805E-01    0.585947E-05    0.585950E-05    0.585947E-05    0.585950E-05
      0.746498E-03    0.166300E-01    0.166301E-01    0.634696E-05    0.634699E-05    0.634696E-05    0.634699E-05
      0.776959E-03    0.173060E-01    0.173061E-01    0.687499E-05    0.687503E-05    0.687499E-05    0.687503E-05
      0.808664E-03    0.180093E-01    0.180094E-01    0.744693E-05    0.744696E-05    0.744693E-05    0.744696E-05
      0.841661E-03    0.187411E-01    0.187412E-01    0.806641E-05    0.806645E-05    0.806641E-05    0.806645E-05
      0.876005E-03    0.195025E-01    0.195026E-01    0.873739E-05    0.873744E-05    0.873739E-05    0.873744E-05
      0.911751E-03    0.202946E-01    0.202948E-01    0.946415E-05    0.946420E-05    0.946415E-05    0.946420E-05
      0.948954E-03    0.211188E-01    0.211190E-01    0.102513E-04    0.102514E-04    0.102513E-04    0.102514E-04
      0.987676E-03    0.219763E-01    0.219765E-01    0.111039E-04    0.111040E-04    0.111039E-04    0.111040E-04
      0.102798E-02    0.228684E-01    0.228686E-01    0.120274E-04    0.120274E-04    0.120274E-04    0.120274E-04
