        Distance           1s              1s              2p              2p              2p              2p
      0.216043E-03    0.449689E-02    0.449687E-02    0.152894E-06    0.152932E-06    0.152894E-06    0.152932E-06
      0.224859E-03    0.468020E-02    0.468018E-02    0.165624E-06    0.165665E-06    0.165624E-06    0.165665E-06
      0.234036E-03    0.487097E-02    0.487095E-02    0.179413E-06    0.179458E-06    0.179413E-06    0.179458E-06
      0.243587E-03    0.506951E-02    0.506949E-02    0.194351E-06    0.194399E-06    0.194351E-06    0.194399E-06
      0.253527E-03    0.527613E-02    0.527611E-02    0.210532E-06    0.210584E-06    0.210532E-06    0.210584E-06
      0.263873E-03    0.549116E-02    0.549113E-02    0.228060E-06    0.228117E-06    0.228060E-06    0.228117E-06
      0.274642E-03    0.571494E-02    0.571491E-02    0.247047E-06    0.247108E-06    0.247047E-06    0.247108E-06
      0.285850E-03    0.594783E-02    0.594780E-02    0.267614E-06    0.267681E-06    0.267614E-06    0.267681E-06
      0.297515E-03    0.619019E-02    0.619016E-02    0.289893E-06    0.289965E-06    0.289893E-06    0.289965E-06
      0.309656E-03    0.644241E-02    0.644239E-02    0.314027E-06    0.314105E-06    0.314027E-06    0.314105E-06
      0.322293E-03    0.670490E-02    0.670487E-02    0.340169E-06    0.340254E-06    0.340169E-06    0.340254E-06
      0.335445E-03    0.697805E-02    0.697802E-02    0.368487E-06    0.368579E-06    0.368487E-06    0.368579E-06
      0.349134E-03    0.726232E-02    0.726229E-02    0.399162E-06    0.399261E-06    0.399162E-06    0.399261E-06
      0.363381E-03    0.755815E-02    0.755812E-02    0.432390E-06    0.432497E-06    0.432390E-06    0.432497E-06
      0.378210E-03    0.786600E-02    0.786597E-02    0.468383E-06    0.468499E-06    0.468383E-06    0.468499E-06
      0.393645E-03    0.818637E-02    0.818633E-02    0.507371E-06    0.507497E-06    0.507371E-06    0.507497E-06
      0.409708E-03    0.851975E-02    0.851972E-02    0.549604E-06    0.549740E-06    0.549604E-06    0.549740E-06
      0.426428E-03    0.886668E-02    0.886665E-02    0.595351E-06    0.595498E-06    0.595351E-06    0.595498E-06
      0.443830E-03    0.922771E-02    0.922767E-02    0.644904E-06    0.645063E-06    0.644904E-06    0.645063E-06
      0.461941E-03    0.960341E-02    0.960337E-02    0.698581E-06    0.698753E-06    0.698581E-06    0.698753E-06
      0.480792E-03    0.999436E-02    0.999432E-02    0.756723E-06    0.756909E-06    0.756723E-06    0.756909E-06
      0.500412E-03    0.104012E-01    0.104011E-01    0.819703E-06    0.819905E-06    0.819703E-06    0.819905E-06
      0.520832E-03    0.108245E-01    0.108245E-01    0.887923E-06    0.888141E-06    0.887923E-06    0.888141E-06
      0.542086E-03    0.112650E-01    0.112650E-01    0.961818E-06    0.962054E-06    0.961818E-06    0.962054E-06
      0.564207E-03    0.117234E-01    0.117234E-01    0.104186E-05    0.104212E-05    0.104186E-05    0.104212E-05
      0.587231E-03    0.122004E-01    0.122004E-01    0.112856E-05    0.112884E-05    0.112856E-05    0.112884E-05
      0.611194E-03    0.126968E-01    0.126967E-01    0.122247E-05    0.122277E-05    0.122247E-05    0.122277E-05
      0.636135E-03    0.132132E-01    0.132132E-01    0.132420E-05    0.132452E-05    0.132420E-05    0.132452E-05
      0.662093E-03    0.137506E-01    0.137506E-01    0.143438E-05    0.143473E-05    0.143438E-05    0.143473E-05
      0.689111E-03    0.143098E-01    0.143098E-01    0.155373E-05    0.155410E-05    0.155373E-05    0.155410E-05
      0.717231E-03    0.148917E-01    0.148916E-01    0.168300E-05    0.168341E-05    0.168300E-05    0.168341E-05
      0.746498E-03    0.154971E-01    0.154970E-01    0.182302E-05    0.182346E-05    0.182302E-05    0.182346E-05
      0.776959E-03    0.161270E-01    0.161269E-01    0.197468E-05    0.197516E-05    0.197468E-05    0.197516E-05
