
            r               1s              2p
        7.7704471   0.5351920E-04   0.2397351E+00
        7.9232086   0.4932076E-04   0.2304772E+00
        8.0774469   0.4544055E-04   0.2213304E+00
        8.2331465   0.4185179E-04   0.2123125E+00
        8.3902921   0.3853110E-04   0.2034400E+00
        8.5488680   0.3545786E-04   0.1947279E+00
        8.7088588   0.3261366E-04   0.1861898E+00
        8.8702487   0.2998187E-04   0.1778381E+00
        9.0330221   0.2754734E-04   0.1696834E+00
        9.1971633   0.2529618E-04   0.1617352E+00
        9.3626565   0.2321556E-04   0.1540018E+00
        9.5294861   0.2129359E-04   0.1464899E+00
        9.6976365   0.1951919E-04   0.1392052E+00
        9.8670919   0.1788204E-04   0.1321520E+00
       10.0378367   0.1637248E-04   0.1253337E+00
       10.2098555   0.1498146E-04   0.1187524E+00
       10.3831327   0.1370054E-04   0.1124094E+00
       10.5576530   0.1252178E-04   0.1063050E+00
       10.7334009   0.1143778E-04   0.1004384E+00
       10.9103613   0.1044158E-04   0.9480837E-01
       11.0885190   0.9526682E-05   0.8941259E-01
       11.2678589   0.8687021E-05   0.8424824E-01
       11.4483661   0.7916918E-05   0.7931182E-01
       11.6300257   0.7211076E-05   0.7459930E-01
       11.8128232   0.6564556E-05   0.7010615E-01
       11.9967438   0.5972754E-05   0.6582739E-01
       12.1817732   0.5431385E-05   0.6175770E-01
       12.3678969   0.4936464E-05   0.5789141E-01
       12.5551009   0.4484288E-05   0.5422259E-01
       12.7433711   0.4071421E-05   0.5074510E-01
       12.9326936   0.3694674E-05   0.4745262E-01
       13.1230546   0.3351093E-05   0.4433871E-01
       13.3144406   0.3037946E-05   0.4139683E-01
       13.5068380   0.2752703E-05   0.3862038E-01
       13.7002336   0.2493027E-05   0.3600277E-01
       13.8946143   0.2256762E-05   0.3353740E-01
       14.0899669   0.2041918E-05   0.3121773E-01
       14.2862788   0.1846661E-05   0.2903728E-01
       14.4835373   0.1669302E-05   0.2698964E-01
       14.6817297   0.1508287E-05   0.2506855E-01
       14.8808438   0.1362189E-05   0.2326785E-01
       15.0808674   0.1229694E-05   0.2158152E-01
       15.2817883   0.1109598E-05   0.2000372E-01
       15.4835948   0.1000796E-05   0.1852875E-01
       15.6862751   0.9022764E-06   0.1715110E-01
       15.8898176   0.8131108E-06   0.1586544E-01
       16.0942110   0.7324509E-06   0.1466664E-01
       16.2994439   0.6595203E-06   0.1354973E-01
       16.5055053   0.5936098E-06   0.1250997E-01
       16.7123842   0.5340716E-06   0.1154279E-01
       16.9200698   0.4803145E-06   0.1064383E-01
       17.1285516   0.4317992E-06   0.9808923E-02
       17.3378190   0.3880344E-06   0.9034082E-02
       17.5478616   0.3485723E-06   0.8315525E-02
       17.7586694   0.3130055E-06   0.7649651E-02
       17.9702323   0.2809633E-06   0.7033040E-02
       18.1825403   0.2521088E-06   0.6462452E-02
       18.3955838   0.2261356E-06   0.5934822E-02
       18.6093532   0.2027658E-06   0.5447248E-02
       18.8238389   0.1817469E-06   0.4996995E-02
       19.0390318   0.1628501E-06   0.4581483E-02
       19.2549225   0.1458679E-06   0.4198283E-02
       19.4715021   0.1306122E-06   0.3845109E-02
       19.6887617   0.1169129E-06   0.3519815E-02
       19.9066925   0.1046157E-06   0.3220389E-02
       20.1252858   0.9358144E-07   0.2944943E-02
       20.3445333   0.8368399E-07   0.2691710E-02
       20.5644264   0.7480948E-07   0.2459038E-02
